URL: [object Object]
Timestamp: Wed Feb 22 2023 14:19:46 GMT-0500 (Eastern Standard Time)

URL: [object Object]
Timestamp: Wed Feb 22 2023 14:19:47 GMT-0500 (Eastern Standard Time)

URL: [object Object]
Timestamp: Wed Feb 22 2023 14:20:23 GMT-0500 (Eastern Standard Time)

URL: /
Timestamp: Wed Feb 22 2023 14:26:12 GMT-0500 (Eastern Standard Time)

URL: /favicon.ico
Timestamp: Wed Feb 22 2023 14:26:12 GMT-0500 (Eastern Standard Time)

URL: /documentation
Timestamp: Wed Feb 22 2023 14:26:31 GMT-0500 (Eastern Standard Time)

URL: /favicon.ico
Timestamp: Wed Feb 22 2023 14:26:31 GMT-0500 (Eastern Standard Time)

::1 - - [18/Mar/2023:08:53:55 +0000] "GET /movies/genre/Thriller HTTP/1.1" 200 305 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:08:55:30 +0000] "GET /movies/Director/Christopher%20Nolen HTTP/1.1" 404 174 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:08:55:49 +0000] "GET /movies/director/Christopher%20Nolen HTTP/1.1" 404 174 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:08:56:06 +0000] "GET /movies/director/Christopher%20Nolen HTTP/1.1" 404 174 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:08:56:13 +0000] "GET /movies/Director/Christopher%20Nolen HTTP/1.1" 404 174 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:08:56:30 +0000] "GET /movies/Directors/Christopher%20Nolen HTTP/1.1" 200 361 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:08:57:39 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:08:57:49 +0000] "GET /user HTTP/1.1" 404 143 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:08:58:00 +0000] "GET /Users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:08:58:40 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:00:05 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:00:10 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:01:48 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:02:05 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:02:07 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:02:29 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:02:31 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:02:42 +0000] "GET /Users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:02:48 +0000] "GET /user HTTP/1.1" 404 143 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:04:55 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:05:39 +0000] "POST /users HTTP/1.1" 201 79 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:07:06 +0000] "PUT /users/4 HTTP/1.1" 500 1468 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:07:23 +0000] "PUT /users/1 HTTP/1.1" 500 1468 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:07:54 +0000] "PUT /users/1 HTTP/1.1" 500 1468 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:10:00 +0000] "PUT /users/1 HTTP/1.1" 200 67 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:10:06 +0000] "PUT /users/4 HTTP/1.1" 400 12 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:10:11 +0000] "PUT /users/1 HTTP/1.1" 200 67 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:11:20 +0000] "PUT /users/2/Skinamarink HTTP/1.1" 404 158 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:11:36 +0000] "PUT /users/1/Skinamarink HTTP/1.1" 404 158 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:15:13 +0000] "POST /users/1/Skinamarink HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:17:06 +0000] "POST /users/1/Skinamarink HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:17:14 +0000] "POST /users/2/Skinamarink HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:17:20 +0000] "POST /users/2/Skinamarink HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:17:24 +0000] "POST /users/1/Skinamarink HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:18:18 +0000] "POST /users/1/Skinamarink HTTP/1.1" 200 44 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:20:26 +0000] "DELETE /users/1/Skinamarink HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:24:35 +0000] "DELETE /users/1/Skinamarink HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:24:43 +0000] "DELETE /users/2/Skinamarink HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:24:53 +0000] "DELETE /users/2/Skinamarink HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:25:21 +0000] "POST /users/2/Skinamarink HTTP/1.1" 200 44 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:26:11 +0000] "POST /users/2/Hush HTTP/1.1" 200 37 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:26:15 +0000] "DELETE /users/2/Hush HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:27:43 +0000] "DELETE /users/2/Hush HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:27:45 +0000] "DELETE /users/2/Hush HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:27:46 +0000] "DELETE /users/2/Hush HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:27:47 +0000] "DELETE /users/2/Hush HTTP/1.1" 500 1469 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:29:00 +0000] "DELETE /users/2/Hush HTTP/1.1" 200 37 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:29:47 +0000] "DELETE /users/2/Hush HTTP/1.1" 200 41 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:31:59 +0000] "DELETE /users/2/Hush HTTP/1.1" 200 41 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:32:01 +0000] "DELETE /users/2/Hush HTTP/1.1" 200 41 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:32:11 +0000] "DELETE /users/2/Hush HTTP/1.1" 200 41 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:33:05 +0000] "DELETE /users/2/Hush HTTP/1.1" 200 41 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:33:37 +0000] "DELETE /users/2 HTTP/1.1" 500 1468 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:33:59 +0000] "DELETE /users/2 HTTP/1.1" 500 1468 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:34:10 +0000] "DELETE /users/2 HTTP/1.1" 500 1468 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:36:46 +0000] "DELETE /users/2 HTTP/1.1" 500 1468 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:09:37:18 +0000] "DELETE /users/2 HTTP/1.1" 200 24 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:10:05:14 +0000] "DELETE / HTTP/1.1" 404 142 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:10:05:37 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:10:05:44 +0000] "GET /movies HTTP/1.1" 200 10083 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:10:06:25 +0000] "GET /documentation HTTP/1.1" 500 1476 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:10:06:36 +0000] "GET /public/documentation HTTP/1.1" 404 159 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:10:06:47 +0000] "GET /public/documentation HTTP/1.1" 404 159 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:10:06:48 +0000] "GET /public/documentation HTTP/1.1" 404 159 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:10:13:13 +0000] "GET /documentation HTTP/1.1" 500 1476 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:10:14:00 +0000] "GET /documentation HTTP/1.1" 200 4011 "-" "PostmanRuntime/7.31.1"
::1 - - [18/Mar/2023:10:14:41 +0000] "GET /public/documentation HTTP/1.1" 404 159 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:10:14:49 +0000] "GET /documentation HTTP/1.1" 200 4011 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:10:22:46 +0000] "GET /documentation HTTP/1.1" 200 3975 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:10:57:39 +0000] "GET /documentation HTTP/1.1" 200 3875 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:01:09 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8005/documentation" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:01:45 +0000] "GET /documentation HTTP/1.1" 200 3726 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:55:02 +0000] "GET /documentation HTTP/1.1" 200 3745 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:55:23 +0000] "GET /documentation HTTP/1.1" 200 3745 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:55:24 +0000] "GET /documentation HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:55:24 +0000] "GET /documentation HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:55:54 +0000] "GET /documentation HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:57:03 +0000] "GET /documentation HTTP/1.1" 200 3793 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:57:04 +0000] "GET /documentation HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:59:15 +0000] "GET /documentation HTTP/1.1" 200 3760 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [18/Mar/2023:11:59:17 +0000] "GET /documentation HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
